Index of Economic Freedom -- Explore the Data
Source: The Heritage Foundation
http://www.heritage.org/index

Country,Index Year,Overall Score,Property Rights,Government Integrity,Judicial Effectiveness,Tax Burden,Government Spending,Fiscal Health,Business Freedom,Labor Freedom,Monetary Freedom,Trade Freedom,Investment Freedom,Financial Freedom
Bolivia,2023,43.4,21.1,28.4,27.7,87.1,60.8,7,55.1,44.9,74,60,15,40
Bolivia,2022,43,14.1,28.7,28.4,86,58.8,10.9,54.7,46.2,72.8,60.8,15,40
Bolivia,2021,42.7,18.7,25.9,11,85.3,58.4,13.4,58.4,53.4,71,61.6,15,40
Bolivia,2020,42.8,20.1,23.1,11.2,86.3,54.2,14.2,58.3,52.9,69.9,67.8,15,40
Bolivia,2019,42.3,20.5,19.7,12.3,82.4,49.3,17.6,58.8,52.9,68.8,70.4,15,40
Bolivia,2018,44.1,19,23.1,11.4,85.7,46.5,46.8,59.2,49.2,67.5,75.5,5,40
Bolivia,2017,47.7,25.7,32.6,15.4,86.1,49.1,81.4,58.9,35.8,66.4,76,5,40
Bolivia,2016,47.4,10,35,N/A,86.4,55.5,N/A,58.8,31.7,65,76.6,15,40
Bolivia,2015,46.8,10,34,N/A,86.8,60.9,N/A,53.7,25.5,69.7,77.6,10,40
Bolivia,2014,48.4,10,28.1,N/A,87.1,62.5,N/A,53.4,29.9,70,77.6,15,50
Brazil,2023,53.5,49.7,55.3,39.1,70.9,55,2.7,63.6,57,73.7,65,60,50
Brazil,2022,53.3,50.3,40,57.2,69.9,53.8,0.4,63.2,55.9,78.4,60,60,50
Brazil,2021,53.4,55,47.5,45.5,70.1,56.5,5.3,58,50.7,77.8,64.6,60,50
Brazil,2020,53.7,57.3,45.6,46.7,70.4,54.6,4.6,60.5,49.5,77.2,67.8,60,50
Brazil,2019,51.9,57.3,28.1,51.7,70.5,55.2,5.9,57.9,51.9,75.5,69,50,50
Brazil,2018,51.4,55.8,31.4,55.5,70.6,50.7,7.7,58.6,46.8,71.4,68.5,50,50
Brazil,2017,52.9,55,33.4,49.7,70.1,53.1,22.8,61.3,52.3,67,69.4,50,50
Brazil,2016,56.5,45,43,N/A,69.7,55.2,N/A,61.4,52.5,64.2,69.4,55,50
Brazil,2015,56.6,50,42,N/A,68.4,50.9,N/A,53.6,52.1,69.4,69.6,50,60
Brazil,2014,56.9,50,37.9,N/A,68.8,54.1,N/A,53.8,49.8,69.9,69.3,55,60
Canada,2023,73.7,88.5,95.1,83.1,75,35,32.2,87.9,69,74.8,83.4,80,80
Canada,2022,76.6,89.5,86.7,96.4,75.7,39.6,62.8,78.8,68.7,78.2,83.2,80,80
Canada,2021,77.9,84.5,87.9,73.3,76,49.8,84.2,81.4,72.4,76.1,88.8,80,80
Canada,2020,78.2,87.7,90.3,72.7,76.5,50.9,83.3,81.7,72,76,87,80,80
Canada,2019,77.7,87,84.6,69.4,76.8,51.3,83.1,81.9,73.7,77.2,86.8,80,80
Canada,2018,77.7,87.5,78.3,77.1,76.7,52.3,81.2,81.8,71.3,77.5,88.1,80,80
Canada,2017,78.5,88.3,81.6,80.8,77.4,52.3,80.3,81.9,73.1,77.8,88.4,80,80
Canada,2016,78,90,81,N/A,80,50.4,N/A,81.8,72.6,76.9,87,80,80
Canada,2015,79.1,90,81,N/A,79.9,48.3,N/A,89,76.1,77.9,88.4,80,80
Canada,2014,80.2,90,87.7,N/A,79.7,47.3,N/A,89.3,83.1,76.3,88.3,80,80
Chile,2023,71.1,72.3,88.7,71.8,73,73.5,43.8,75.7,59.4,77.4,78,70,70
Chile,2022,74.4,73,71.4,91.4,72.4,78.1,75.3,76.2,58,79.4,78,70,70
Chile,2021,75.2,70.2,74.5,68.4,72.3,80.4,90.4,75.1,62.5,85.5,83,70,70
Chile,2020,76.8,69.9,73.4,61.1,76.4,80.8,90.5,75,64.7,85.2,89,85,70
Chile,2019,75.4,68.7,62.3,56.3,77.3,81,89,76.6,65,84.5,88.8,85,70
Chile,2018,75.2,67.9,61.2,63.4,78,81.3,91.7,72.4,60.4,82.4,88.7,85,70
Chile,2017,76.5,68.2,70.5,63.7,77.6,82.2,96.1,72.3,64.3,82.2,86.4,85,70
Chile,2016,77.7,85,73,N/A,74.8,83.1,N/A,72.1,64.3,82.9,86.4,85,70
Chile,2015,78.5,90,71,N/A,76.5,83.3,N/A,69.3,67,85.6,82,90,70
Chile,2014,78.7,90,72.3,N/A,76.5,83.8,N/A,69.3,69.3,84.1,82,90,70
Colombia,2023,63.1,44.9,58.7,41.4,69,66,38.5,72.2,61.7,78.6,75.8,80,70
Colombia,2022,65.1,50.9,42,59.1,71.3,66,56.7,68.8,60.7,79.3,76.4,80,70
Colombia,2021,68.1,59.8,49.7,36.4,69.7,69.3,78.9,71,77.7,78.1,77,80,70
Colombia,2020,69.2,61.1,46.1,32.8,70.4,77,85.5,71.3,78,77.5,81.2,80,70
Colombia,2019,67.3,59.2,33.5,34.3,74.3,75,79.2,71.4,78.5,75.6,76,80,70
Colombia,2018,68.9,60.7,33.4,36.4,80.3,74.4,82.2,78.6,75.2,73.9,81.6,80,70
Colombia,2017,69.7,63.8,39.6,25.2,80.1,74.2,89.8,77.1,77.9,77,81.6,80,70
Colombia,2016,70.8,50,37,N/A,80.1,74.4,N/A,78.2,77.6,79.6,81,80,70
Colombia,2015,71.7,50,36,N/A,80.3,76,N/A,81.5,81.7,80.1,81.2,80,70
Colombia,2014,70.7,50,33.2,N/A,80.6,74.9,N/A,85.2,80.5,78.8,78.8,75,70
Costa Rica,2023,66.5,66,76.7,63.3,79.5,85.9,17.4,73.8,58.1,82.2,74.6,70,50
Costa Rica,2022,65.4,66.4,63.1,78.4,79.2,86.6,10.9,66,56.6,83.1,74.6,70,50
Costa Rica,2021,64.2,64,59,58.1,79.9,87.7,24.3,66.2,55.5,80.9,75,70,50
Costa Rica,2020,65.8,66.7,57.2,54.4,78.9,88.4,39.7,66.5,55,81.2,81.4,70,50
Costa Rica,2019,65.3,58.3,54.5,54,79.2,88.4,42.5,67.2,55.2,83.2,81.4,70,50
Costa Rica,2018,65.6,54.8,51.8,57.8,79.3,88.9,46.8,68.3,50.3,85,84.7,70,50
Costa Rica,2017,65,51.6,55.4,55.6,79.4,88.5,42.4,68.1,53.9,80.8,84.7,70,50
Costa Rica,2016,67.4,50,54,N/A,79.4,88.7,N/A,68.6,53.8,77.6,81.6,70,50
Costa Rica,2015,67.2,50,53,N/A,80,89.9,N/A,64.5,54.6,75.8,83.8,70,50
Costa Rica,2014,66.9,50,50.9,N/A,80,90,N/A,64.9,53.3,76.3,83.8,70,50
Cuba,2023,24.3,31.7,15.5,36.6,51.9,0,0,41.1,20,15.3,59.6,10,10
Cuba,2022,29.5,31.5,39.9,15.6,48.4,0,11.4,41.1,20,61.8,64,10,10
Cuba,2021,28.1,27.7,48.7,10,47.1,0,14.6,20,20,64.6,64.2,10,10
Cuba,2020,26.9,20.1,38.7,10,49.5,0,14.8,20,20,64.1,65.6,10,10
Cuba,2019,27.8,31.6,37.7,10,48.8,0,15.6,20,20,65.6,64,10,10
Cuba,2018,31.9,29.7,38.1,10,49,0,64.4,20,20,66.4,64.7,10,10
Cuba,2017,33.9,32.4,41.8,10,51.3,0,81.2,20,20,66,64.5,10,10
Cuba,2016,29.8,10,46,N/A,52.1,0,N/A,20,20,65.2,64.6,10,10
Cuba,2015,29.6,10,46,N/A,61.8,0,N/A,20,20,64.8,63.8,0,10
Cuba,2014,28.7,10,41.2,N/A,60,0,N/A,20,20,65.8,60,0,10
Dominica,2023,59.7,69.1,82.7,57.9,76.4,3.1,56.7,63.8,59.5,82.6,54.8,70,40
Dominica,2022,54.4,68.1,56.2,81.6,71.6,8.5,1.1,55.8,59,84.9,55.6,70,40
Dominica,2021,53,51.2,51,66.3,70,7.4,6.1,68.4,67,82.4,55.6,70,40
Dominica,2020,60.8,59.8,51.2,62.6,70.5,16,86.2,70.4,60.7,83.5,68.4,70,30
Dominica,2019,63.6,49.2,54.5,63.8,72.1,53.5,84.7,70.7,60.4,85.7,68.2,70,30
Dominica,2018,64.5,48.6,49.9,69.2,72.9,64.8,85.2,71.7,57.7,86.6,62.6,75,30
Dominica,2017,63.7,43.8,40.9,67.7,73.2,67.5,72.6,72.1,59,89.5,72.6,75,30
Dominica,2016,67,60,58,N/A,74,68.5,N/A,73.3,68.7,90.1,72.6,75,30
Dominica,2015,66.1,60,58,N/A,73.6,61.5,N/A,71.6,68.7,89.5,72.8,75,30
Dominica,2014,65.2,60,53.5,N/A,72.9,61.7,N/A,75,70.7,85.8,72.7,70,30
Dominican Republic,2023,62.6,55.1,56.6,33.2,84.9,89.1,61.9,72.1,53,68.8,67,70,40
Dominican Republic,2022,63,54,30.8,55.9,84.6,89.9,66.8,68.1,52.9,73.5,69,70,40
Dominican Republic,2021,62.1,51.2,34.6,28.8,84.6,91.7,84.4,56.4,58.7,75.3,69.4,70,40
Dominican Republic,2020,60.9,55.8,31.2,18.2,84.5,90.5,82.4,50.3,57.5,73.5,76.6,70,40
Dominican Republic,2019,61,50.6,23.2,18.1,84.6,90.3,89.9,51.9,57.6,79.7,75.8,70,40
Dominican Republic,2018,61.6,51.7,26.2,23.1,84.6,90.6,90.5,53.2,54.3,77.1,72.4,75,40
Dominican Republic,2017,62.9,56.1,30.9,25.3,84.6,90.2,90.1,52.8,56.2,76.7,77,75,40
Dominican Republic,2016,61,25,32,N/A,84.5,90.2,N/A,56.6,56.5,73.1,77.2,75,40
Dominican Republic,2015,61,30,29,N/A,84.1,87.1,N/A,53.5,57.5,76,77.8,75,40
Dominican Republic,2014,61.3,30,27.3,N/A,83.7,92.3,N/A,56.1,55.2,75.7,77.8,75,40
Ecuador,2023,55,31.6,46.9,36.5,74.8,60.3,66.4,64,56.5,82.2,65.6,35,40
Ecuador,2022,54.3,31.4,37.2,47.3,77.5,59.7,63.1,60.3,57.3,81.5,61,35,40
Ecuador,2021,52.4,39.5,38.5,24.7,77.1,58.5,75.9,50.4,47.9,81.7,59.8,35,40
Ecuador,2020,51.3,40.4,33.4,20.7,77.5,57.9,62.3,53.8,48,81,66,35,40
Ecuador,2019,46.9,35.9,25.3,20.2,77,55.5,32.1,54.1,48.2,73.5,66.4,35,40
Ecuador,2018,48.5,36.7,30.2,23.3,79.4,52.5,47,55.6,43.7,70.1,68.8,35,40
Ecuador,2017,49.3,38.7,33.9,22.3,79.1,46.1,56.4,55.4,47.3,67.7,69.7,35,40
Ecuador,2016,48.6,15,33,N/A,79.2,41.8,N/A,55.5,51.6,68.1,71.4,30,40
Ecuador,2015,49.2,15,35,N/A,79.1,51,N/A,51.4,51.3,68.2,71.4,30,40
Ecuador,2014,48,20,26,N/A,79.8,41.8,N/A,52.8,52,66.1,71.8,30,40
El Salvador,2023,56,43,31.8,34.6,77.2,71.6,35.8,64.7,54.6,70.2,68.6,60,60
El Salvador,2022,59.6,43.2,36.1,46.8,77.7,74.7,50.3,65,54.6,76.8,69.4,60,60
El Salvador,2021,61,39.9,34.2,33.5,77.9,81,79.6,52.4,52.2,81,70.8,70,60
El Salvador,2020,61.6,41.6,31.6,30.1,77.8,82.8,80,53.6,52.3,78.6,80.8,70,60
El Salvador,2019,61.8,37.6,23.4,29.1,78.1,86.3,81.9,57.2,53.1,79,81.4,75,60
El Salvador,2018,63.2,37.3,25.2,35.4,78.9,86.3,78.5,58.2,52.9,79.8,86.4,80,60
El Salvador,2017,64.1,45.3,31.7,35.4,79,85.9,74.7,57.3,54.5,79.2,86.5,80,60
El Salvador,2016,65.1,35,39,N/A,79.1,85.3,N/A,56,52.6,83.4,85.8,75,60
El Salvador,2015,65.7,35,38,N/A,79.4,85.5,N/A,53.3,53.3,82.5,85.2,75,70
El Salvador,2014,66.2,40,34.3,N/A,79.6,85.8,N/A,59.6,63.3,80,79,70,70
Guatemala,2023,62.7,39.2,28.5,24.9,91.7,94,85.8,65.8,50.1,77.4,74.6,70,50
Guatemala,2022,63.2,39.8,26.5,36.9,91.5,94,83.3,62.1,50.3,79.3,75,70,50
Guatemala,2021,64,43.2,30.1,32.6,91.8,94.8,92.1,61.5,48.5,77.7,75.6,70,50
Guatemala,2020,64,45.5,29.6,32.2,79.2,95.6,95.7,62.6,48.4,77.4,82.2,70,50
Guatemala,2019,62.6,40.3,26.4,32.3,79.2,95.6,96.2,53.6,48.7,77,82.2,70,50
Guatemala,2018,63.4,40.4,27.3,33.1,79.2,95.3,95.3,57.3,48.3,77.6,87.2,70,50
Guatemala,2017,63,45,27.5,27.8,79.2,94.8,93.5,58.7,48.2,79.4,87,65,50
Guatemala,2016,61.8,20,32,N/A,79.1,94.3,N/A,62.5,50.9,77.9,86.4,65,50
Guatemala,2015,60.4,20,29,N/A,79.6,94.1,N/A,54.7,50.6,76.8,84.6,65,50
Guatemala,2014,61.2,25,28.7,N/A,79.6,93.6,N/A,58.4,49.3,76.7,85.4,65,50
Guyana,2023,56.9,46.7,47.1,40.2,73.2,76,39,67.1,73.8,79.6,55,55,30
Guyana,2022,59.5,46.9,41.5,47.4,67.5,74.8,67.4,63.1,67.3,83.3,69.4,55,30
Guyana,2021,57.4,44.9,38.5,40.4,64.6,77.3,69.8,58.2,62.1,81.3,66.8,55,30
Guyana,2020,56.2,53.6,34.1,42.6,66,64.4,58.6,58.9,62.1,82.5,66.8,55,30
Guyana,2019,56.8,41.7,33.2,42.9,67,69.4,77.6,59.3,62,76.9,66.8,55,30
Guyana,2018,58.7,42.1,34.8,42.5,68.4,70.8,73.8,60.3,70.5,79.3,71.5,60,30
Guyana,2017,58.5,37.7,33.9,34.1,68,72.8,80.9,63.2,70.9,79.8,70.7,60,30
Guyana,2016,55.4,30,30,N/A,68.7,73.1,N/A,63,70.7,77.4,70.8,40,30
Guyana,2015,55.5,25,27,N/A,68.7,70.8,N/A,63.8,74.5,78.4,72,45,30
Guyana,2014,55.7,30,24.4,N/A,68.4,71.8,N/A,64.3,72.6,78.1,72,45,30
Haiti,2023,49.9,23.2,18.5,15.8,81.7,96.8,90,33.4,55.1,58.3,66.5,30,30
Haiti,2022,50,24.1,14.3,18.6,81.5,97,94.8,33.5,54.7,56.2,65.4,30,30
Haiti,2021,50.8,12.6,22,15.1,80.2,91.3,92.9,33,62.1,59.7,65.4,45,30
Haiti,2020,52.3,16.4,22.3,23.3,80.2,89.4,96.3,33.6,62.3,61.5,67,45,30
Haiti,2019,52.7,10.4,20.3,25.3,79.9,88.3,95.9,36.2,62.6,66.5,72,45,30
Haiti,2018,55.8,25.1,24.6,42.5,80.1,85.6,83.6,48.3,64.1,68.9,71.9,45,30
Haiti,2017,49.6,12.6,19.1,25.1,80.3,81,51.8,49.4,62.1,73.8,70.6,40,30
Haiti,2016,51.3,10,19,N/A,80.5,76.4,N/A,47.1,62,76,72,40,30
Haiti,2015,51.3,10,19,N/A,80.3,76.2,N/A,43.1,63.7,73.5,77.6,40,30
Haiti,2014,48.9,10,16.9,N/A,80.3,66.3,N/A,33.3,68.5,73.6,70.4,40,30
Honduras,2023,58.7,38.3,29,23.4,83.8,77.5,84.4,60.8,38.4,72,71.6,65,60
Honduras,2022,59.5,40.3,25.4,29,82.7,78.7,92.1,56.9,39.1,72.7,71.6,65,60
Honduras,2021,59.8,45.5,29.1,36,82.2,79.3,96.7,48.7,32,71.8,71.8,65,60
Honduras,2020,61.1,48.6,28.6,34.2,82.3,78.2,96.7,56.7,31.5,72.2,79.4,65,60
Honduras,2019,60.2,43.4,25.3,31,82.8,78.2,95.9,56.9,32,73,79.4,65,60
Honduras,2018,60.6,44.3,28.2,34.5,82.8,76.6,87.4,58.5,31.9,73.8,84.4,65,60
Honduras,2017,58.8,45,32.2,38.2,83.3,74.7,64.1,56.9,31.2,77.3,78.4,65,60
Honduras,2016,57.7,30,29,N/A,84.2,72,N/A,58,31,74.8,78.4,60,60
Honduras,2015,57.4,30,26,N/A,84.9,78.7,N/A,53.2,28,75.4,77.6,60,60
Honduras,2014,57.1,30,23.7,N/A,84.9,79.8,N/A,55.4,26.5,75.1,75.4,60,60
Jamaica,2023,68.1,65.8,70.8,48.6,79.8,72.2,82.6,67.7,64.4,75.1,70,70,50
Jamaica,2022,67.4,65,49,70.6,76.6,71.6,79.4,56.5,64.7,76.2,69.2,80,50
Jamaica,2021,69,60.6,47.7,55.1,79.7,74.4,83.1,77.6,73.4,77.5,69.2,80,50
Jamaica,2020,68.5,62.1,46.8,50.5,80,74.8,80.2,77.7,74,77.7,68.4,80,50
Jamaica,2019,68.6,60.7,45,49.2,80.2,76,80,78,73.6,82.6,68.4,80,50
Jamaica,2018,69.1,60.9,39.4,56.6,80,77.2,79.5,78.7,74.5,82,70.8,80,50
Jamaica,2017,69.5,58,38.2,61.5,81,77.5,79.9,78.9,73.7,79.5,75.3,80,50
Jamaica,2016,67.5,40,38,N/A,81.7,78,N/A,81.3,72.7,77.5,75.4,80,50
Jamaica,2015,67.7,40,38,N/A,81.5,73.2,N/A,85.9,76.5,71.4,75,85,50
Jamaica,2014,66.7,40,33,N/A,77.2,69.4,N/A,84.6,75.6,77.3,75.1,85,50
Mexico,2023,63.2,47.8,40,30.8,75.5,77.8,73.6,72.4,57.7,70.9,76.8,75,60
Mexico,2022,63.7,47.7,32,40.7,76,78.3,78,69.2,58.4,73,76.6,75,60
Mexico,2021,65.5,53.4,39.8,35.9,76.1,79.8,88.7,65.6,58.2,72.1,81.6,75,60
Mexico,2020,66,58.3,36.7,34.7,76.1,79.3,87.5,67,58.4,70.9,87.6,75,60
Mexico,2019,64.7,59.1,26.3,34.9,75.8,78.2,83.2,67.8,58.6,75.9,81.4,75,60
Mexico,2018,64.8,58.6,26.9,39,75.7,78.1,69.8,67.5,59.8,79.2,88,75,60
Mexico,2017,63.6,58.1,30,38.7,74.9,76.7,66.8,70.7,57.9,78.8,80,70,60
Mexico,2016,65.2,50,35,N/A,74.9,76.4,N/A,70.7,58.2,77.4,79.2,70,60
Mexico,2015,66.4,50,34,N/A,77.8,78,N/A,71.5,59.9,77.6,85.6,70,60
Mexico,2014,66.8,50,29.7,N/A,80.9,78.9,N/A,76.8,58.3,77.4,85.6,70,60
Nicaragua,2023,54.9,29.7,20.4,17.6,75.6,74.4,92,53.9,47,71.3,66.4,60,50
Nicaragua,2022,54.8,30.1,19,19.5,75.3,76.2,87.3,53.8,46.9,72,67.8,60,50
Nicaragua,2021,56.3,27.8,24.8,19,77.1,77.5,91.8,53.1,55,70.7,68.4,60,50
Nicaragua,2020,57.2,33.5,24.3,19.5,76.3,77.5,87.2,55.1,55.5,71.5,75.4,60,50
Nicaragua,2019,57.7,33.4,20.3,18.7,76.9,79.1,93.9,56,55.8,72.7,76,60,50
Nicaragua,2018,58.9,29.8,24.2,19,77.2,80,94.8,60.2,57.3,73,81,60,50
Nicaragua,2017,59.2,31.1,27.4,15.9,77.2,80.8,96.1,59,55.6,71.2,81,65,50
Nicaragua,2016,58.6,10,28,N/A,78,82.8,N/A,61.2,55.7,69,86.2,65,50
Nicaragua,2015,57.6,10,28,N/A,78.4,76.6,N/A,58,56.7,67.8,85.4,65,50
Nicaragua,2014,58.4,15,24.1,N/A,78.6,80,N/A,52.6,60.3,72.8,85.4,65,50
Panama,2023,63.8,56.8,51.5,38.7,85.6,81.1,19.1,71.1,61,77.3,78.5,75,70
Panama,2022,65.4,58.8,38,50.7,85.5,81.9,40.7,67.1,61.5,78.1,77.2,75,70
Panama,2021,66.2,54.5,39.4,28.1,85.2,85.2,82.8,72.9,43.7,80.5,77.2,75,70
Panama,2020,67.2,58.8,37.2,30,85.3,85.7,91.2,70.8,43.3,79.4,79.2,75,70
Panama,2019,67.2,60.4,34.1,30.1,85,85.3,91.3,73.6,43.4,79.4,79.2,75,70
Panama,2018,67,60.9,38.8,29.4,85,84.1,86.1,74.4,43.5,79.5,77.8,75,70
Panama,2017,66.3,61.1,40.9,21.5,85.2,83.1,84.9,74.4,43,78.4,77.8,75,70
Panama,2016,64.8,30,37,N/A,84.4,77.9,N/A,74.4,42.9,78.6,77.8,75,70
Panama,2015,64.1,30,35,N/A,84.5,78.8,N/A,71.5,41.5,76.4,78.4,75,70
Panama,2014,63.4,30,34,N/A,84.3,78.7,N/A,73,39.4,75.1,74.2,75,70
Paraguay,2023,61,46.8,37.9,30.1,96.2,81.7,45.4,69.5,39.5,72.6,77.2,75,60
Paraguay,2022,62.9,45.5,29.5,37.9,96.1,84,68.8,65.4,39.4,75.6,77,75,60
Paraguay,2021,62.6,41.6,32.2,26,96.2,86.7,91.6,59.6,31.8,73.8,76.4,75,60
Paraguay,2020,63,44.7,29.6,26.4,96.1,88.6,98,60.9,29,72.5,75.4,75,60
Paraguay,2019,61.8,39.5,25.5,30,96.3,78.9,96.3,61.5,29.2,72.8,76.6,75,60
Paraguay,2018,62.1,38.3,28.3,28.2,96.1,82.2,97.1,62.2,29.9,72.4,76.1,75,60
Paraguay,2017,62.4,38.2,32.6,23.3,96.2,83,95.1,62.4,28.5,78.3,76.6,75,60
Paraguay,2016,61.5,30,24,N/A,96.3,83.3,N/A,62.6,30.4,76.8,76.2,75,60
Paraguay,2015,61.1,30,24,N/A,96,81.9,N/A,58.4,26.3,78.3,81.4,75,60
Paraguay,2014,62,30,20.5,N/A,96.2,89,N/A,58,28.9,80.9,81.1,75,60
Peru,2023,66.5,51.4,48.2,38.5,80,83.3,70.8,72.8,58.3,78.5,81.2,75,60
Peru,2022,66.5,49.7,39.7,49.7,79.5,84.2,73.1,65.3,59.6,81.4,81.4,75,60
Peru,2021,67.7,53.3,36.3,28.2,79.4,86.4,91.5,66.2,63.2,86.1,86.4,75,60
Peru,2020,67.9,54.9,33.5,30.6,80.8,86.4,89,67.1,62.9,86.3,88.4,75,60
Peru,2019,67.8,56.1,31.8,34,80.6,86.1,88.5,67.8,63.5,83.9,86.4,75,60
Peru,2018,68.7,56.9,36.6,33.5,80.6,85.6,94.7,69.2,62.4,83.1,87.1,75,60
Peru,2017,68.9,58.3,38.8,28.2,80.3,85.1,98.4,69.4,62.8,83.3,87.1,75,60
Peru,2016,67.4,40,38,N/A,78.5,86.1,N/A,67.8,62.9,83.7,87,70,60
Peru,2015,67.7,40,38,N/A,78.6,88.5,N/A,67.7,63.4,83.9,87,70,60
Peru,2014,67.4,40,34,N/A,79.1,89.1,N/A,70.6,61.4,83.3,87,70,60
Saint Lucia,2023,60.7,68.6,77.3,58.9,77.8,73.4,3,69.6,57.3,80.9,56.6,65,40
Saint Lucia,2022,64.3,66.8,58.1,76.9,77.5,78.7,50.1,61.5,58.2,82.2,56.6,65,40
Saint Lucia,2021,67.5,61.5,44.6,66.3,76.9,83.2,86.2,75.7,66.5,83.5,60.6,65,40
Saint Lucia,2020,68.2,69.8,41.8,62.6,76.9,80.6,83.8,76.7,66.4,82,73.2,65,40
Saint Lucia,2019,68.7,65.9,50.3,63.8,76.2,79.3,81.3,76.3,69.2,83.9,73.2,65,40
Saint Lucia,2018,67.6,67.9,50.9,69.2,75.5,72.4,67.7,76.6,69.5,81.7,74.3,65,40
Saint Lucia,2017,65,65.5,39.6,68.8,76.4,71.6,53.8,77.2,68.7,82.3,71.6,65,40
Saint Lucia,2016,70,70,71,N/A,76.9,70.6,N/A,77.6,76.2,80.3,72,65,40
Saint Lucia,2015,70.2,70,71,N/A,77.7,65.8,N/A,75.6,79.8,85.5,72,65,40
Saint Lucia,2014,70.7,70,70.6,N/A,75.7,63.6,N/A,83.1,84.5,82.7,71.9,65,40
Saint Vincent and the Grenadines,2023,63.5,67.1,77.3,62.8,75.5,65.7,43.2,61.8,58.5,82.9,57.6,70,40
Saint Vincent and the Grenadines,2022,65.7,64,62,76.9,75.5,66.9,68.5,61.4,58.8,84.2,59.8,70,40
Saint Vincent and the Grenadines,2021,66.3,48.1,48.7,66.3,74.9,71.6,87.6,74.2,74,82.6,57.8,70,40
Saint Vincent and the Grenadines,2020,66.8,50.5,46.1,62.6,72.4,73.7,89,75.8,73.3,80.8,67.2,70,40
Saint Vincent and the Grenadines,2019,65.8,36.5,50.5,63.8,71.2,74.3,85,76.5,73.5,82.2,66.6,70,40
Saint Vincent and the Grenadines,2018,67.7,36.7,51.5,69.2,72.7,72.7,83.4,80,75,85.4,75.7,70,40
Saint Vincent and the Grenadines,2017,65.2,37.3,47.6,68.8,72.8,71.7,66.7,80.3,74.5,82.9,65.2,75,40
